Date,Location,Opponent,Goal_For,Goal_Against,Result
18/8/2018,Home,Deportivo Alavés,3,0,
25/8/2018,Away,Real Valladolid CF,1,0,
2/9/2018,Home,SD Huesca,8,2,
15/9/2018,Away,Real Sociedad,2,1,
23/9/2018,Home,Girona FC,2,2,
26/9/2018,Away,CD Leganés,1,2,
29/9/2018,Home,Athletic Club,1,1,
7/10/2018,Away,Valencia CF,1,1,
20/10/2018,Home,Sevilla FC,4,2,
28/10/2018,Home,Real Madrid,5,1,
3/11/2018,Away,Rayo Vallecano,3,2,
11/11/2018,Home,Real Betis,3,4,
24/11/2018,Away,Atlético de Madrid,1,1,
2/12/2018,Home,Villarreal CF,2,0,
8/12/2018,Away,RCD Espanyol,4,0,
16/12/2018,Away,Levante UD,5,0,
22/12/2018,Home,RC Celta,2,0,
6/1/2019,Away,Getafe CF,2,1,
13/1/2019,Home,SD Eibar,3,0,
20/1/2019,Home,CD Leganés,3,1,
27/1/2019,Away,Girona FC,2,0,
2/2/2019,Home,Valencia CF,2,2,
10/2/2019,Away,Athletic Club,0,0,
16/2/2019,Home,Real Valladolid CF,1,0,
23/2/2019,Away,Sevilla FC,4,2,
2/3/2019,Away,Real Madrid,1,0,
9/3/2019,Home,Rayo Vallecano,3,1,
17/3/2019,Away,Real Betis,4,1,
30/3/2019,Home,RCD Espanyol,2,0,
2/4/2019,Away,Villarreal CF,4,4,
6/4/2019,Home,Atlético de Madrid,2,0,
13/4/2019,Away,SD Huesca,0,0,
20/4/2019,Home,Real Sociedad,2,1,
23/4/2019,Away,Deportivo Alavés,2,0,
27/4/2019,Home,Levante UD,1,0,
4/5/2019,Away,RC Celta,0,2,
12/5/2019,Home,Getafe CF,2,0,
19/5/2019,Away,SD Eibar,2,2,
16/8/2019,Away,Athletic Club,0,1,
25/8/2019,Home,Real Betis,5,2,
31/8/2019,Away,CA Osasuna,2,2,
14/9/2019,Home,Valencia CF,5,2,
21/9/2019,Away,Granada CF,0,2,
24/9/2019,Home,Villarreal CF,2,1,
28/9/2019,Away,Getafe CF,2,0,
6/10/2019,Home,Sevilla FC,4,0,
19/10/2019,Away,SD Eibar,3,0,
29/10/2019,Home,Real Valladolid CF,5,1,
2/11/2019,Away,Levante UD,1,3,
9/11/2019,Home,RC Celta,4,1,
23/11/2019,Away,CD Leganés,2,1,
1/12/2019,Away,Atlético de Madrid,1,0,
7/12/2019,Home,RCD Mallorca,5,2,
14/12/2019,Away,Real Sociedad,2,2,
18/12/2019,Home,Real Madrid,0,0,
21/12/2019,Home,Deportivo Alavés,4,1,
4/1/2020,Away,RCD Espanyol,2,2,
19/1/2020,Home,Granada CF,1,0,
25/1/2020,Away,Valencia CF,0,2,
2/2/2020,Home,Levante UD,2,1,
9/2/2020,Away,Real Betis,3,2,
15/2/2020,Home,Getafe CF,2,1,
22/2/2020,Home,SD Eibar,5,0,
1/3/2020,Away,Real Madrid,0,2,
7/3/2020,Home,Real Sociedad,1,0,
13/6/2020,Away,RCD Mallorca,4,0,
16/6/2020,Home,CD Leganés,2,0,
19/6/2020,Away,Sevilla FC,0,0,
23/6/2020,Home,Athletic Club,1,0,
27/6/2020,Away,RC Celta,2,2,
30/6/2020,Home,Atlético de Madrid,2,2,
5/7/2020,Away,Villarreal CF,4,1,
8/7/2020,Home,RCD Espanyol,1,0,
11/7/2020,Away,Real Valladolid CF,1,0,
16/7/2020,Home,CA Osasuna,1,2,
19/7/2020,Away,Deportivo Alavés,5,0,
27/9/2020,Home,Villarreal CF,4,0,
1/10/2020,Away,RC Celta,3,0,
4/10/2020,Home,Sevilla FC,1,1,
17/10/2020,Away,Getafe CF,0,1,
24/10/2020,Home,Real Madrid,1,3,
