Date,Location,Opponent,Goal_For,Goal_Against,Result,Venue_code,opp_code,target
2018-08-18,Home,Deportivo Alavés,3,0,W,1,5,1
2018-08-25,Away,Real Valladolid CF,1,0,W,0,18,1
2018-02-09,Home,SD Huesca,8,2,W,1,20,1
2018-09-15,Away,Real Sociedad,2,1,W,0,17,1
2018-09-23,Home,Girona FC,2,2,D,1,8,0
2018-09-26,Away,CD Leganés,1,2,L,0,3,0
2018-09-29,Home,Athletic Club,1,1,D,1,0,0
2018-07-10,Away,Valencia CF,1,1,D,0,23,0
2018-10-20,Home,Sevilla FC,4,2,W,1,21,1
2018-10-28,Home,Real Madrid,5,1,W,1,16,1
2018-03-11,Away,Rayo Vallecano,3,2,W,0,14,1
2018-11-11,Home,Real Betis,3,4,L,1,15,0
2018-11-24,Away,Atlético de Madrid,1,1,D,0,1,0
2018-02-12,Home,Villarreal CF,2,0,W,1,24,1
2018-08-12,Away,RCD Espanyol,4,0,W,0,12,1
2018-12-16,Away,Levante UD,5,0,W,0,10,1
2018-12-22,Home,RC Celta,2,0,W,1,11,1
2019-06-01,Away,Getafe CF,2,1,W,0,7,1
2019-01-13,Home,SD Eibar,3,0,W,1,19,1
2019-01-20,Home,CD Leganés,3,1,W,1,3,1
2019-01-27,Away,Girona FC,2,0,W,0,8,1
2019-02-02,Home,Valencia CF,2,2,D,1,23,0
2019-10-02,Away,Athletic Club,0,0,D,0,0,0
2019-02-16,Home,Real Valladolid CF,1,0,W,1,18,1
2019-02-23,Away,Sevilla FC,4,2,W,0,21,1
2019-02-03,Away,Real Madrid,1,0,W,0,16,1
2019-09-03,Home,Rayo Vallecano,3,1,W,1,14,1
2019-03-17,Away,Real Betis,4,1,W,0,15,1
2019-03-30,Home,RCD Espanyol,2,0,W,1,12,1
2019-02-04,Away,Villarreal CF,4,4,D,0,24,0
2019-06-04,Home,Atlético de Madrid,2,0,W,1,1,1
2019-04-13,Away,SD Huesca,0,0,D,0,20,0
2019-04-20,Home,Real Sociedad,2,1,W,1,17,1
2019-04-23,Away,Deportivo Alavés,2,0,W,0,5,1
2019-04-27,Home,Levante UD,1,0,W,1,10,1
2019-04-05,Away,RC Celta,0,2,L,0,11,0
2019-12-05,Home,Getafe CF,2,0,W,1,7,1
2019-05-19,Away,SD Eibar,2,2,D,0,19,0
2019-08-16,Away,Athletic Club,0,1,L,0,0,0
2019-08-25,Home,Real Betis,5,2,W,1,15,1
2019-08-31,Away,CA Osasuna,2,2,D,0,2,0
2019-09-14,Home,Valencia CF,5,2,W,1,23,1
2019-09-21,Away,Granada CF,0,2,L,0,9,0
2019-09-24,Home,Villarreal CF,2,1,W,1,24,1
2019-09-28,Away,Getafe CF,2,0,W,0,7,1
2019-06-10,Home,Sevilla FC,4,0,W,1,21,1
2019-10-19,Away,SD Eibar,3,0,W,0,19,1
2019-10-29,Home,Real Valladolid CF,5,1,W,1,18,1
2019-02-11,Away,Levante UD,1,3,L,0,10,0
2019-09-11,Home,RC Celta,4,1,W,1,11,1
2019-11-23,Away,CD Leganés,2,1,W,0,3,1
2019-01-12,Away,Atlético de Madrid,1,0,W,0,1,1
2019-07-12,Home,RCD Mallorca,5,2,W,1,13,1
2019-12-14,Away,Real Sociedad,2,2,D,0,17,0
2019-12-18,Home,Real Madrid,0,0,D,1,16,0
2019-12-21,Home,Deportivo Alavés,4,1,W,1,5,1
2020-04-01,Away,RCD Espanyol,2,2,D,0,12,0
2020-01-19,Home,Granada CF,1,0,W,1,9,1
2020-01-25,Away,Valencia CF,0,2,L,0,23,0
2020-02-02,Home,Levante UD,2,1,W,1,10,1
2020-09-02,Away,Real Betis,3,2,W,0,15,1
2020-02-15,Home,Getafe CF,2,1,W,1,7,1
2020-02-22,Home,SD Eibar,5,0,W,1,19,1
2020-01-03,Away,Real Madrid,0,2,L,0,16,0
2020-07-03,Home,Real Sociedad,1,0,W,1,17,1
2020-06-13,Away,RCD Mallorca,4,0,W,0,13,1
2020-06-16,Home,CD Leganés,2,0,W,1,3,1
2020-06-19,Away,Sevilla FC,0,0,D,0,21,0
2020-06-23,Home,Athletic Club,1,0,W,1,0,1
2020-06-27,Away,RC Celta,2,2,D,0,11,0
2020-06-30,Home,Atlético de Madrid,2,2,D,1,1,0
2020-05-07,Away,Villarreal CF,4,1,W,0,24,1
2020-08-07,Home,RCD Espanyol,1,0,W,1,12,1
2020-11-07,Away,Real Valladolid CF,1,0,W,0,18,1
2020-07-16,Home,CA Osasuna,1,2,L,1,2,0
2020-07-19,Away,Deportivo Alavés,5,0,W,0,5,1
2020-09-27,Home,Villarreal CF,4,0,W,1,24,1
2020-01-10,Away,RC Celta,3,0,W,0,11,1
2020-04-10,Home,Sevilla FC,1,1,D,1,21,0
2020-10-17,Away,Getafe CF,0,1,L,0,7,0
2020-10-24,Home,Real Madrid,1,3,L,1,16,0
2020-10-31,Away,Deportivo Alavés,1,1,D,0,5,0
2020-07-11,Home,Real Betis,5,2,W,1,15,1
2020-11-21,Away,Atlético de Madrid,0,1,L,0,1,0
2020-11-29,Home,CA Osasuna,4,0,W,1,2,1
2020-05-12,Away,Cádiz CF,1,2,L,0,4,0
2020-12-13,Home,Levante UD,1,0,W,1,10,1
2020-12-16,Home,Real Sociedad,2,1,W,1,17,1
2020-12-19,Home,Valencia CF,2,2,D,1,23,0
2020-12-22,Away,Real Valladolid CF,3,0,W,0,18,1
2020-12-29,Home,SD Eibar,1,1,D,1,19,0
2021-03-01,Away,SD Huesca,1,0,W,0,20,1
2021-06-01,Away,Athletic Club,3,2,W,0,0,1
2021-09-01,Away,Granada CF,4,0,W,0,9,1
2021-01-24,Away,Elche CF,2,0,W,0,6,1
